aiannh_ce,aiannh_ns,aiannh_name,area_type,states
6630,02418629,Inalik ANVSA,alaska_native_village,AK
6650,02418632,Ivanof Bay ANVSA,alaska_native_village,AK
6670,02418635,Kake ANVSA,alaska_native_village,AK
6680,02418636,Kaktovik ANVSA,alaska_native_village,AK
6685,02418638,Kalskag ANVSA,alaska_native_village,AK
6690,02418639,Kaltag ANVSA,alaska_native_village,AK
6700,02418641,Karluk ANVSA,alaska_native_village,AK
6705,02418643,Kasaan ANVSA,alaska_native_village,AK
6710,02418644,Kasigluk ANVSA,alaska_native_village,AK
6720,02418648,Kenaitze ANVSA,alaska_native_village,AK
6725,02575182,Ketchikan ANVSA,alaska_native_village,AK
6730,02418650,Kiana ANVSA,alaska_native_village,AK
6735,02418652,King Cove ANVSA,alaska_native_village,AK
6740,02575183,King Salmon ANVSA,alaska_native_village,AK
6750,02418656,Kipnuk ANVSA,alaska_native_village,AK
6755,02418658,Kivalina ANVSA,alaska_native_village,AK
6765,02418659,Klawock ANVSA,alaska_native_village,AK
6785,02418661,Knik ANVSA,alaska_native_village,AK
6790,02418664,Kobuk ANVSA,alaska_native_village,AK
6795,02575184,Kodiak ANVSA,alaska_native_village,AK
6800,02418666,Kokhanok ANVSA,alaska_native_village,AK
6810,02418669,Kongiganak ANVSA,alaska_native_village,AK
6815,02418671,Kotlik ANVSA,alaska_native_village,AK
6820,02418672,Kotzebue ANVSA,alaska_native_village,AK
6825,02418673,Koyuk ANVSA,alaska_native_village,AK
6830,02418674,Koyukuk ANVSA,alaska_native_village,AK
6835,02418675,Kwethluk ANVSA,alaska_native_village,AK
6840,02418676,Kwigillingok ANVSA,alaska_native_village,AK
6845,02418678,Kwinhagak ANVSA,alaska_native_village,AK
6850,02575185,Lake Minchumina ANVSA,alaska_native_village,AK
6855,02418682,Larsen Bay ANVSA,alaska_native_village,AK
6860,02575186,Lesnoi ANVSA,alaska_native_village,AK
6865,02418684,Levelock ANVSA,alaska_native_village,AK
6875,02418686,Lime Village ANVSA,alaska_native_village,AK
6890,02418690,Lower Kalskag ANVSA,alaska_native_village,AK
6895,02418700,McGrath ANVSA,alaska_native_village,AK
6900,02418694,Manley Hot Springs ANVSA,alaska_native_village,AK
6905,02418696,Manokotak ANVSA,alaska_native_village,AK
6910,02418697,Marshall ANVSA,alaska_native_village,AK
6915,02418698,Mary's Igloo ANVSA,alaska_native_village,AK
6935,02418705,Mekoryuk ANVSA,alaska_native_village,AK
6945,02418707,Mentasta Lake ANVSA,alaska_native_village,AK
6965,02418713,Minto ANVSA,alaska_native_village,AK
6975,02418719,Mountain Village ANVSA,alaska_native_village,AK
6990,02418721,Naknek ANVSA,alaska_native_village,AK
6995,02418725,Nanwalek ANVSA,alaska_native_village,AK
7005,02418727,Napaimute ANVSA,alaska_native_village,AK
7010,02418728,Napakiak ANVSA,alaska_native_village,AK
7020,02418729,Napaskiak ANVSA,alaska_native_village,AK
7025,02418732,Nelson Lagoon ANVSA,alaska_native_village,AK
7030,02418734,Nenana ANVSA,alaska_native_village,AK
7035,02418738,Newhalen ANVSA,alaska_native_village,AK
